Firstname,LastName,Address,Phone Number,,,,,
John,Jacob,"123 St. Marks Place,Staten Island, NY 10314",555-555-555,,2,8,,
Jane,Deeds,"1443 Dorsett Drive, Wall Township, NJ 07719",646-213-2323,,3,,,
Phil,Joseph,"50 State Route 36, Eatontown, NJ 07719",231-444-5566,,1,,,
Jen,Gates,"1818 Sesame St, New York, NY 11313",231-112-3345,,6,,,
Jack,Besos,"123 St. Marks Place,Staten Island, NY 10314",754-324-6874,,5,,,
April,Beasley,"1443 Dorsett Drive, Wall Township, NJ 07719",555-555-5555,,3,,,
June,Cera,"50 State Route 36, Eatontown, NJ 07719",555-555-5555,,4,,,
Dylan,Johanson,"1818 Sesame St, New York, NY 11313",555-555-5555,,7,,,
Stephen,Quebec,"123 St. Marks Place,Staten Island, NY 10314",555-555-5555,,1,3,4,5
Andrea,Morris,"1443 Dorsett Drive, Wall Township, NJ 07719",555-555-5555,,6,13,12,
Johnathan,Hedgehog,"50 State Route 36, Eatontown, NJ 07719",555-555-5555,,10,,,
Lucio,Appleseed,"1818 Sesame St, New York, NY 11313",555-555-5555,,9,,,
Alex,Fields,"123 St. Marks Place,Staten Island, NY 10314",555-555-5555,,5,,,
Crystal,Santiago,"50 State Route 36, Eatontown, NJ 07719",555-555-5555,,4,,,
