Firstname,LastName,Address,Phone Number,Balance,ID,,,,
Bob,DiLillo,"123 St. M,arks Place",555-555-555,20,1,1,3,2,
Dylan,Cappelli,444 Forest Ave,646-213-2323,15,2,1,2,7,
Dan ,Dolan,3434 Manor Road,231-444-5566,10,3,1,2,3,
Henry,Alcabesa,1443 Dorsett Drive,231-112-3345,50,4,2,1,3,
Darryl,Sessoms,1443 Dorsett Drive,754-324-6874,30,5,1,4,3,5
Jim,Halpert,1443 Dorsett Drive,555-555-5555,18,6,6,7,,
Thor,Ragnarok,1443 Dorsett Drive,555-555-5555,12,7,8,,,
Ab,Jecht,1443 Dorsett Drive,555-555-5555,10,8,1,3,,
Zidane,Tribal,1443 Dorsett Drive,555-555-5555,60,9,3,6,4,
Alba,Bella,1443 Dorsett Drive,555-555-5555,40,10,3,6,4,5
John,Smith,1443 Dorsett Drive,555-555-5555,25,11,2,1,,
Jane,Doe,1443 Dorsett Drive,555-555-5555,44,12,2,8,,
Mr.,Potatohead,1443 Dorsett Drive,555-555-5555,35,13,3,4,2,
Jesus,Santiago,1443 Dorsett Drive,555-555-5555,18,14,6,,,
